14840KMKG MKG20050501000010405/01/05 00:00:35  5-MIN KMKG 010500Z 26006KT 10SM SCT050 SCT085 05/00  A2994 610 70 -400 260/06 RMK AO2
14840KMKG MKG20050501000511905/01/05 00:05:31  5-MIN KMKG 010505Z 25007KT 10SM SCT055 BKN080 05/00  A2994 610 70 -400 250/07 RMK AO2 CIG 050 RWY 14
14840KMKG MKG20050501001010405/01/05 00:10:31  5-MIN KMKG 010510Z 24007KT 10SM BKN050 BKN080 06/00  A2994 610 67 -300 250/07 RMK AO2
14840KMKG MKG20050501001511905/01/05 00:15:31  5-MIN KMKG 010515Z 25008KT 10SM -RA BKN055 BKN085 06/00 A2994 610 67 -300 250/08 RMK AO2 RAB15 P0000
14840KMKG MKG20050501002012605/01/05 00:20:31  5-MIN KMKG 010520Z 25007KT 10SM -RA BKN055 BKN075 OVC090 06/00 A2994 620 67 -300 250/07 RMK AO2 RAB15 P0000
14840KMKG MKG20050501002511905/01/05 00:25:31  5-MIN KMKG 010525Z 26006KT 10SM -RA BKN055 OVC080 06/00 A2994 620 67 -300 260/06 RMK AO2 RAB15 P0000
14840KMKG MKG20050501003011905/01/05 00:30:31  5-MIN KMKG 010530Z 26006KT 10SM -RA BKN055 OVC075 06/00 A2994 610 67 -300 270/06 RMK AO2 RAB15 P0000
14840KMKG MKG20050501003512605/01/05 00:35:31  5-MIN KMKG 010535Z 26009KT 10SM BKN050 BKN060 OVC080  06/01 A2994 610 70 -300 270/09 RMK AO2 RAB15E33 P0000
14840KMKG MKG20050501004012605/01/05 00:40:31  5-MIN KMKG 010540Z 25007KT 10SM BKN050 BKN060 OVC080  05/01 A2994 610 76 -400 260/07 RMK AO2 RAB15E33 P0000
14840KMKG MKG20050501004512605/01/05 00:45:31  5-MIN KMKG 010545Z 24007KT 10SM BKN050 BKN060 OVC075  05/01 A2994 610 76 -400 240/07 RMK AO2 RAB15E33 P0000
14840KMKG MKG20050501005016105/01/05 00:50:31  5-MIN KMKG 010550Z 26009KT 10SM BKN050 OVC060 05/01  A2994 610 76 -400 260/09 RMK AO2 RAB15E33 SLP142 P0000 60000 T00500011  10072 20044 51014
14840KMKG MKG20050501005516705/01/05 00:55:31  5-MIN KMKG 010555Z 25007KT 10SM -RA FEW028 OVC048 05/01 A2994 610 76 -400 250/07 RMK AO2 RAB15E33B52 SLP142 P0000 60000 T00500011  10072 20044 56007
14840KMKG MKG20050501010012005/01/05 01:00:31  5-MIN KMKG 010600Z 26010KT 10SM -RA SCT028 BKN048 OVC060 05/00 A2993 620 70 -400 260/10 RMK AO2 P0000
14840KMKG MKG20050501010512105/01/05 01:05:31  5-MIN KMKG 010605Z 26008KT 10SM -RA FEW028 BKN048 BKN060 05/M01 A2993 620 67 -400 270/08 RMK AO2 P0000
14840KMKG MKG20050501011013805/01/05 01:10:31  5-MIN KMKG 010610Z 25008KT 10SM FEW028 SCT046 BKN055  05/00 A2994 620 70 -400 250/08 RMK AO2 RAE08 CIG 046 RWY 14 P0000
14840KMKG MKG20050501011512305/01/05 01:15:31  5-MIN KMKG 010615Z 25007KT 10SM FEW035 SCT046 BKN055  04/01 A2993 620 76 -400 260/07 RMK AO2 RAE08 P0000
14840KMKG MKG20050501012012305/01/05 01:20:31  5-MIN KMKG 010620Z 25006KT 10SM SCT040 SCT048 BKN055  04/01 A2994 620 79 -400 260/06 RMK AO2 RAE08 P0000
14840KMKG MKG20050501012514405/01/05 01:25:31  5-MIN KMKG 010625Z 24006KT 10SM -RA SCT048 SCT060 BKN080 04/01 A2993 620 79 -400 250/06 RMK AO2 RAE08B25 CIG 055 RWY 14 P0000
14840KMKG MKG20050501013012205/01/05 01:30:31  5-MIN KMKG 010630Z 25005KT 10SM -RA SCT055 BKN075 04/01 A2993 620 82 -500 250/05 RMK AO2 RAE08B25 P0000
14840KMKG MKG20050501013512205/01/05 01:35:31  5-MIN KMKG 010635Z 25006KT 10SM SCT055 SCT075 04/01  A2993 620 82 -500 250/06 RMK AO2 RAE08B25E35 P0000
14840KMKG MKG20050501014012205/01/05 01:40:31  5-MIN KMKG 010640Z 24005KT 10SM FEW060 SCT075 04/01  A2993 620 82 -500 250/05 RMK AO2 RAE08B25E35 P0000
14840KMKG MKG20050501014512205/01/05 01:45:31  5-MIN KMKG 010645Z 25005KT 10SM FEW055 SCT075 03/01  A2993 620 85 -600 250/05 RMK AO2 RAE08B25E35 P0000
14840KMKG MKG20050501015013205/01/05 01:50:31  5-MIN KMKG 010650Z 24005KT 10SM BKN075 03/01 A2993 620  85 -600 250/05 RMK AO2 RAE08B25E35 SLP138 P0000 T00330011
14840KMKG MKG20050501015513205/01/05 01:55:31  5-MIN KMKG 010655Z 24006KT 10SM BKN075 03/01 A2993 620  85 -500 250/06 RMK AO2 RAE08B25E35 SLP137 P0000 T00330011
14840KMKG MKG20050501020009705/01/05 02:00:31  5-MIN KMKG 010700Z 26006KT 10SM BKN075 04/01 A2993 630  82 -500 260/06 RMK AO2
14840KMKG MKG20050501020509705/01/05 02:05:31  5-MIN KMKG 010705Z 26007KT 10SM BKN075 04/01 A2992 630  82 -500 260/07 RMK AO2
14840KMKG MKG20050501021009705/01/05 02:10:31  5-MIN KMKG 010710Z 26006KT 10SM BKN075 04/01 A2992 630  82 -500 260/06 RMK AO2
14840KMKG MKG20050501021509705/01/05 02:15:31  5-MIN KMKG 010715Z 25006KT 10SM BKN075 04/01 A2992 630  82 -500 260/06 RMK AO2
14840KMKG MKG20050501022009705/01/05 02:20:31  5-MIN KMKG 010720Z 25006KT 10SM BKN075 04/01 A2992 630  82 -500 260/06 RMK AO2
14840KMKG MKG20050501022509705/01/05 02:25:31  5-MIN KMKG 010725Z 26008KT 10SM SCT075 04/01 A2992 630  82 -500 260/08 RMK AO2
14840KMKG MKG20050501023009705/01/05 02:30:31  5-MIN KMKG 010730Z 25006KT 10SM FEW075 04/01 A2992 630  82 -500 260/06 RMK AO2
14840KMKG MKG20050501023509705/01/05 02:35:31  5-MIN KMKG 010735Z 26007KT 10SM FEW070 04/01 A2992 630  82 -500 260/07 RMK AO2
14840KMKG MKG20050501024009705/01/05 02:40:31  5-MIN KMKG 010740Z 27008KT 10SM FEW070 04/01 A2992 630  79 -500 270/08 RMK AO2
14840KMKG MKG20050501024509705/01/05 02:45:31  5-MIN KMKG 010745Z 26007KT 10SM FEW070 04/01 A2992 630  79 -500 260/07 RMK AO2
14840KMKG MKG20050501025011105/01/05 02:50:31  5-MIN KMKG 010750Z 26007KT 10SM CLR 04/01 A2992 630 76  -400 270/07 RMK AO2 SLP135 T00440006
