14840KMKG MKG20050401025011104/01/05 02:50:31  5-MIN KMKG 010750Z 00000KT 10SM CLR 04/M01 A3006 500 73 -600 000/00 RMK AO2 SLP184 T00391006
14840KMKG MKG20050401025511104/01/05 02:55:31  5-MIN KMKG 010755Z 27003KT 10SM CLR 04/M01 A3006 500 73 -600 270/03 RMK AO2 SLP185 T00391006
14840KMKG MKG20050401030009404/01/05 03:00:31  5-MIN KMKG 010800Z 26004KT 10SM CLR 04/M01 A3006 500 73 -600 260/04 RMK AO2
14840KMKG MKG20050401030509404/01/05 03:05:31  5-MIN KMKG 010805Z 26004KT 10SM CLR 03/M01 A3006 500 76 -700 270/04 RMK AO2
14840KMKG MKG20050401031009404/01/05 03:10:31  5-MIN KMKG 010810Z 27003KT 10SM CLR 04/00 A3006 500 76  -600 280/03 RMK AO2
14840KMKG MKG20050401031509404/01/05 03:15:31  5-MIN KMKG 010815Z 26004KT 10SM CLR 04/00 A3006 500 76  -600 260/04 RMK AO2
14840KMKG MKG20050401032009404/01/05 03:20:31  5-MIN KMKG 010820Z 24004KT 10SM CLR 03/00 A3006 500 79  -700 240/04 RMK AO2
14840KMKG MKG20050401032509404/01/05 03:25:31  5-MIN KMKG 010825Z 25004KT 10SM CLR 03/00 A3007 500 79  -700 250/04 RMK AO2
14840KMKG MKG20050401033009404/01/05 03:30:31  5-MIN KMKG 010830Z 25004KT 10SM CLR 03/00 A3007 490 82  -800 260/04 RMK AO2
14840KMKG MKG20050401033509404/01/05 03:35:31  5-MIN KMKG 010835Z 26004KT 10SM CLR 02/M01 A3007 500 82 -800 260/04 RMK AO2
14840KMKG MKG20050401034009404/01/05 03:40:31  5-MIN KMKG 010840Z 26003KT 10SM CLR 03/00 A3006 500 82  -800 260/03 RMK AO2
14840KMKG MKG20050401034509404/01/05 03:45:31  5-MIN KMKG 010845Z 27003KT 10SM CLR 04/01 A3007 500 79  -600 270/03 RMK AO2
14840KMKG MKG20050401035011704/01/05 03:50:31  5-MIN KMKG 010850Z 27003KT 10SM CLR 04/01 A3007 500 79  -600 280/03 RMK AO2 SLP187 T00390006 51014
14840KMKG MKG20050401035511704/01/05 03:55:31  5-MIN KMKG 010855Z 28004KT 10SM CLR 04/01 A3007 500 79  -600 280/04 RMK AO2 SLP187 T00390006 51010
14840KMKG MKG20050401040009404/01/05 04:00:31  5-MIN KMKG 010900Z 29003KT 10SM CLR 04/01 A3006 500 79  -600 290/03 RMK AO2
14840KMKG MKG20050401040509404/01/05 04:05:31  5-MIN KMKG 010905Z 28003KT 10SM CLR 04/01 A3006 500 79  -600 290/03 RMK AO2
14840KMKG MKG20050401041009404/01/05 04:10:31  5-MIN KMKG 010910Z 27004KT 10SM CLR 04/01 A3006 500 79  -600 270/04 RMK AO2
14840KMKG MKG20050401041509404/01/05 04:15:31  5-MIN KMKG 010915Z 27003KT 10SM CLR 04/01 A3006 500 79  -600 270/03 RMK AO2
14840KMKG MKG20050401042009404/01/05 04:20:31  5-MIN KMKG 010920Z 26003KT 10SM CLR 04/01 A3006 500 82  -600 270/03 RMK AO2
14840KMKG MKG20050401042509404/01/05 04:25:31  5-MIN KMKG 010925Z 00000KT 10SM CLR 04/01 A3007 500 82  -600 000/00 RMK AO2
