14840KMKG MKG20050601025011006/01/05 02:50:31  5-MIN KMKG 010750Z 07003KT 10SM CLR 14/08 A3010 470 69  500 070/03 RMK AO2 SLP190 T01390083
14840KMKG MKG20050601025511006/01/05 02:55:31  5-MIN KMKG 010755Z 08003KT 10SM CLR 14/08 A3010 470 69  500 080/03 RMK AO2 SLP191 T01390083
14840KMKG MKG20050601030009306/01/05 03:00:31  5-MIN KMKG 010800Z 09004KT 10SM CLR 14/08 A3010 460 69  500 090/04 RMK AO2
14840KMKG MKG20050601030509306/01/05 03:05:31  5-MIN KMKG 010805Z 09003KT 10SM CLR 13/08 A3010 470 71  400 100/03 RMK AO2
14840KMKG MKG20050601031009306/01/05 03:10:31  5-MIN KMKG 010810Z 08004KT 10SM CLR 13/08 A3010 460 71  400 090/04 RMK AO2
14840KMKG MKG20050601031509306/01/05 03:15:31  5-MIN KMKG 010815Z 07004KT 10SM CLR 13/08 A3010 460 71  400 080/04 RMK AO2
14840KMKG MKG20050601032009306/01/05 03:20:31  5-MIN KMKG 010820Z 08005KT 10SM CLR 13/08 A3010 470 71  400 080/05 RMK AO2
14840KMKG MKG20050601032509306/01/05 03:25:31  5-MIN KMKG 010825Z 07004KT 10SM CLR 13/08 A3010 470 71  400 080/04 RMK AO2
14840KMKG MKG20050601033009306/01/05 03:30:31  5-MIN KMKG 010830Z 06004KT 10SM CLR 13/08 A3010 470 71  400 060/04 RMK AO2
14840KMKG MKG20050601033509306/01/05 03:35:31  5-MIN KMKG 010835Z 06004KT 10SM CLR 13/08 A3010 470 71  400 070/04 RMK AO2
14840KMKG MKG20050601034009306/01/05 03:40:31  5-MIN KMKG 010840Z 07005KT 10SM CLR 13/08 A3010 470 74  400 070/05 RMK AO2
14840KMKG MKG20050601034509306/01/05 03:45:31  5-MIN KMKG 010845Z 07004KT 10SM CLR 13/08 A3010 470 74  400 070/04 RMK AO2
14840KMKG MKG20050601035011606/01/05 03:50:31  5-MIN KMKG 010850Z 06005KT 10SM CLR 13/08 A3010 470 74  400 060/05 RMK AO2 SLP190 T01280083 58001
14840KMKG MKG20050601035511606/01/05 03:55:31  5-MIN KMKG 010855Z 06005KT 10SM CLR 12/08 A3010 470 77  300 060/05 RMK AO2 SLP191 T01220083 56002
14840KMKG MKG20050601040009306/01/05 04:00:31  5-MIN KMKG 010900Z 06005KT 10SM CLR 12/08 A3010 470 77  300 070/05 RMK AO2
14840KMKG MKG20050601040509306/01/05 04:05:31  5-MIN KMKG 010905Z 07005KT 10SM CLR 12/08 A3010 460 77  300 070/05 RMK AO2
14840KMKG MKG20050601041009306/01/05 04:10:31  5-MIN KMKG 010910Z 07005KT 10SM CLR 12/08 A3010 470 77  300 080/05 RMK AO2
14840KMKG MKG20050601041509306/01/05 04:15:31  5-MIN KMKG 010915Z 07004KT 10SM CLR 12/08 A3010 460 77  300 080/04 RMK AO2
14840KMKG MKG20050601042009306/01/05 04:20:31  5-MIN KMKG 010920Z 08004KT 10SM CLR 12/08 A3010 460 77  300 090/04 RMK AO2
14840KMKG MKG20050601042509306/01/05 04:25:31  5-MIN KMKG 010925Z 09004KT 10SM CLR 12/08 A3010 460 80  200 090/04 RMK AO2
14840KMKG MKG20050601043009306/01/05 04:30:31  5-MIN KMKG 010930Z 08005KT 10SM CLR 12/08 A3010 470 77  300 080/05 RMK AO2
14840KMKG MKG20050601043509306/01/05 04:35:31  5-MIN KMKG 010935Z 08004KT 10SM CLR 12/08 A3010 460 80  200 080/04 RMK AO2
14840KMKG MKG20050601044009306/01/05 04:40:31  5-MIN KMKG 010940Z 08004KT 10SM CLR 12/08 A3010 460 77  300 080/04 RMK AO2
14840KMKG MKG20050601044509306/01/05 04:45:31  5-MIN KMKG 010945Z 08004KT 10SM CLR 12/08 A3010 460 80  200 080/04 RMK AO2
14840KMKG MKG20050601045011006/01/05 04:50:31  5-MIN KMKG 010950Z 08005KT 10SM CLR 12/08 A3010 460 80  200 080/05 RMK AO2 SLP192 T01170083
14840KMKG MKG20050601045511006/01/05 04:55:31  5-MIN KMKG 010955Z 07004KT 10SM CLR 12/08 A3010 460 80  200 080/04 RMK AO2 SLP193 T01170083
14840KMKG MKG20050601050009306/01/05 05:00:31  5-MIN KMKG 011000Z 08004KT 10SM CLR 12/08 A3010 460 80  200 080/04 RMK AO2
14840KMKG MKG20050601050509306/01/05 05:05:31  5-MIN KMKG 011005Z 08004KT 10SM CLR 11/08 A3010 460 83  100 090/04 RMK AO2
14840KMKG MKG20050601051009306/01/05 05:10:31  5-MIN KMKG 011010Z 00000KT 10SM CLR 11/08 A3010 460 83  100 000/00 RMK AO2
14840KMKG MKG20050601051509306/01/05 05:15:31  5-MIN KMKG 011015Z 00000KT 10SM CLR 12/08 A3010 460 80  200 000/00 RMK AO2
14840KMKG MKG20050601052009306/01/05 05:20:31  5-MIN KMKG 011020Z 00000KT 10SM CLR 12/08 A3011 460 80  200 000/00 RMK AO2
14840KMKG MKG20050601052509306/01/05 05:25:31  5-MIN KMKG 011025Z 00000KT 10SM CLR 12/08 A3011 460 80  200 000/00 RMK AO2
14840KMKG MKG20050601053009306/01/05 05:30:31  5-MIN KMKG 011030Z 11003KT 10SM CLR 12/08 A3011 460 80  200 120/03 RMK AO2
14840KMKG MKG20050601053509306/01/05 05:35:31  5-MIN KMKG 011035Z 09004KT 10SM CLR 12/08 A3011 460 80  200 100/04 RMK AO2
14840KMKG MKG20050601054009306/01/05 05:40:31  5-MIN KMKG 011040Z 09005KT 10SM CLR 11/08 A3011 450 83  100 090/05 RMK AO2
14840KMKG MKG20050601054509306/01/05 05:45:31  5-MIN KMKG 011045Z 09003KT 10SM CLR 11/08 A3011 450 83  100 100/03 RMK AO2
14840KMKG MKG20050601055011006/01/05 05:50:31  5-MIN KMKG 011050Z 08003KT 10SM CLR 12/09 A3011 450 83  200 090/03 RMK AO2 SLP196 T01170089
14840KMKG MKG20050601055511006/01/05 05:55:31  5-MIN KMKG 011055Z 00000KT 10SM CLR 12/09 A3012 450 83  200 000/00 RMK AO2 SLP197 T01170089
14840KMKG MKG20050601060009306/01/05 06:00:31  5-MIN KMKG 011100Z 00000KT 10SM CLR 12/09 A3012 450 83  200 000/00 RMK AO2
14840KMKG MKG20050601060509306/01/05 06:05:31  5-MIN KMKG 011105Z 00000KT 10SM CLR 12/09 A3012 450 80  300 000/00 RMK AO2
14840KMKG MKG20050601061009306/01/05 06:10:31  5-MIN KMKG 011110Z 00000KT 10SM CLR 13/09 A3012 450 80  300 000/00 RMK AO2
14840KMKG MKG20050601061509306/01/05 06:15:31  5-MIN KMKG 011115Z 08003KT 10SM CLR 13/09 A3011 450 80  300 090/03 RMK AO2
14840KMKG MKG20050601062009306/01/05 06:20:31  5-MIN KMKG 011120Z 09005KT 10SM CLR 13/09 A3012 450 77  400 100/05 RMK AO2
14840KMKG MKG20050601062509306/01/05 06:25:31  5-MIN KMKG 011125Z 10004KT 10SM CLR 14/09 A3012 450 74  500 100/04 RMK AO2
14840KMKG MKG20050601063009306/01/05 06:30:31  5-MIN KMKG 011130Z 11004KT 10SM CLR 14/10 A3012 450 77  500 110/04 RMK AO2
14840KMKG MKG20050601063509306/01/05 06:35:31  5-MIN KMKG 011135Z 11004KT 10SM CLR 14/10 A3012 450 74  500 110/04 RMK AO2
14840KMKG MKG20050601064009306/01/05 06:40:31  5-MIN KMKG 011140Z 10004KT 10SM CLR 14/10 A3012 450 74  500 110/04 RMK AO2
14840KMKG MKG20050601064509306/01/05 06:45:31  5-MIN KMKG 011145Z 10004KT 10SM CLR 15/10 A3012 450 72  600 110/04 RMK AO2
14840KMKG MKG20050601065012806/01/05 06:50:31  5-MIN KMKG 011150Z 12005KT 10SM CLR 15/10 A3012 440 72  600 120/05 RMK AO2 SLP199 T01500100 10156 20111 56002
14840KMKG MKG20050601065512806/01/05 06:55:31  5-MIN KMKG 011155Z 12005KT 10SM CLR 15/10 A3013 440 72  600 120/05 RMK AO2 SLP200 T01500100 10156 20111 53009
14840KMKG MKG20050601070009306/01/05 07:00:31  5-MIN KMKG 011200Z 12007KT 10SM CLR 15/10 A3013 440 72  600 120/07 RMK AO2
14840KMKG MKG20050601070509306/01/05 07:05:31  5-MIN KMKG 011205Z 11005KT 10SM CLR 16/10 A3013 440 69  600 120/05 RMK AO2
14840KMKG MKG20050601071009306/01/05 07:10:31  5-MIN KMKG 011210Z 11005KT 10SM CLR 16/11 A3013 440 69  700 120/05 RMK AO2
14840KMKG MKG20050601071509306/01/05 07:15:31  5-MIN KMKG 011215Z 13006KT 10SM CLR 16/11 A3013 440 69  700 130/06 RMK AO2
14840KMKG MKG20050601072009306/01/05 07:20:31  5-MIN KMKG 011220Z 12006KT 10SM CLR 17/10 A3013 440 64  800 130/06 RMK AO2
14840KMKG MKG20050601072509306/01/05 07:25:31  5-MIN KMKG 011225Z 11006KT 10SM CLR 17/11 A3013 440 67  800 120/06 RMK AO2
14840KMKG MKG20050601073009306/01/05 07:30:31  5-MIN KMKG 011230Z 11005KT 10SM CLR 17/11 A3013 440 64  800 110/05 RMK AO2
14840KMKG MKG20050601073509306/01/05 07:35:31  5-MIN KMKG 011235Z 11005KT 10SM CLR 17/11 A3013 440 64  800 110/05 RMK AO2
14840KMKG MKG20050601074009306/01/05 07:40:31  5-MIN KMKG 011240Z 11006KT 10SM CLR 18/11 A3013 430 62  900 120/06 RMK AO2
14840KMKG MKG20050601074509306/01/05 07:45:31  5-MIN KMKG 011245Z 10008KT 10SM CLR 18/11 A3013 430 62  900 110/08 RMK AO2
14840KMKG MKG20050601075011106/01/05 07:50:31  5-MIN KMKG 011250Z 11007KT 10SM CLR 18/11 A3013 430 60  1000 110/07 RMK AO2 SLP202 T01830106
14840KMKG MKG20050601075511106/01/05 07:55:31  5-MIN KMKG 011255Z 11009KT 10SM CLR 19/11 A3013 430 60  1000 110/09 RMK AO2 SLP202 T01890111
14840KMKG MKG20050601080009406/01/05 08:00:31  5-MIN KMKG 011300Z 11008KT 10SM CLR 19/11 A3013 430 60  1000 110/08 RMK AO2
14840KMKG MKG20050601080509406/01/05 08:05:31  5-MIN KMKG 011305Z 11008KT 10SM CLR 19/11 A3013 430 60  1000 120/08 RMK AO2
14840KMKG MKG20050601081009406/01/05 08:10:31  5-MIN KMKG 011310Z 11006KT 10SM CLR 19/11 A3013 430 58  1100 110/06 RMK AO2
14840KMKG MKG20050601081509406/01/05 08:15:31  5-MIN KMKG 011315Z 11007KT 10SM CLR 19/11 A3013 430 58  1100 110/07 RMK AO2
14840KMKG MKG20050601082009406/01/05 08:20:31  5-MIN KMKG 011320Z 12007KT 10SM CLR 20/11 A3013 430 56  1200 120/07 RMK AO2
14840KMKG MKG20050601082509406/01/05 08:25:31  5-MIN KMKG 011325Z 13007KT 10SM CLR 21/11 A3013 430 54  1200 130/07 RMK AO2
14840KMKG MKG20050601083009406/01/05 08:30:31  5-MIN KMKG 011330Z 13008KT 10SM CLR 21/11 A3013 440 52  1300 130/08 RMK AO2
14840KMKG MKG20050601083509406/01/05 08:35:31  5-MIN KMKG 011335Z 14008KT 10SM CLR 21/11 A3013 430 52  1300 140/08 RMK AO2
14840KMKG MKG20050601084009406/01/05 08:40:31  5-MIN KMKG 011340Z 12006KT 10SM CLR 22/12 A3013 430 52  1400 130/06 RMK AO2
14840KMKG MKG20050601084509406/01/05 08:45:31  5-MIN KMKG 011345Z 11007KT 10SM CLR 22/12 A3013 430 52  1400 120/07 RMK AO2
14840KMKG MKG20050601085011106/01/05 08:50:31  5-MIN KMKG 011350Z 14007KT 10SM CLR 22/11 A3013 430 50  1400 140/07 RMK AO2 SLP202 T02170111
