14840KMKG MKG20140201022512102/01/14 02:25:31  5-MIN KMKG 010725Z AUTO 13004KT 10SM BKN040 OVC090 M08/M11 A3009 480 80 -2200 130/04 RMK AO2 T10831111
14840KMKG MKG20140201023012102/01/14 02:30:31  5-MIN KMKG 010730Z AUTO 11003KT 10SM BKN040 OVC095 M08/M11 A3009 480 80 -2200 120/03 RMK AO2 T10831111
14840KMKG MKG20140201023512102/01/14 02:35:31  5-MIN KMKG 010735Z AUTO 11003KT 10SM BKN040 OVC090 M08/M11 A3009 480 80 -2200 120/03 RMK AO2 T10831111
14840KMKG MKG20140201024012102/01/14 02:40:31  5-MIN KMKG 010740Z AUTO 12003KT 10SM BKN040 OVC090 M08/M11 A3009 470 80 -2200 120/03 RMK AO2 T10831111
14840KMKG MKG20140201024512102/01/14 02:45:31  5-MIN KMKG 010745Z AUTO 11003KT 10SM BKN040 OVC090 M08/M11 A3009 470 80 -2200 120/03 RMK AO2 T10831111
14840KMKG MKG20140201025012102/01/14 02:50:31  5-MIN KMKG 010750Z AUTO 12003KT 10SM OVC040 M08/M11 A3009 470 84 -2200 120/03 RMK AO2 SLP200 T10831106
14840KMKG MKG20140201025512102/01/14 02:55:31  5-MIN KMKG 010755Z AUTO 12003KT 10SM OVC039 M08/M11 A3009 480 80 -2200 130/03 RMK AO2 SLP199 T10831111
14840KMKG MKG20140201030011402/01/14 03:00:31  5-MIN KMKG 010800Z AUTO 11003KT 10SM OVC039 M08/M11 A3008 480 80 -2200 120/03 RMK AO2 T10831111
14840KMKG MKG20140201030511402/01/14 03:05:31  5-MIN KMKG 010805Z AUTO 00000KT 10SM OVC039 M08/M11 A3009 480 80 -2100 000/00 RMK AO2 T10781106
14840KMKG MKG20140201031011402/01/14 03:10:31  5-MIN KMKG 010810Z AUTO 00000KT 10SM OVC038 M08/M11 A3008 480 80 -2100 000/00 RMK AO2 T10781106
14840KMKG MKG20140201031511402/01/14 03:15:31  5-MIN KMKG 010815Z AUTO 00000KT 10SM OVC038 M08/M11 A3008 480 80 -2100 000/00 RMK AO2 T10781106
14840KMKG MKG20140201032011402/01/14 03:20:31  5-MIN KMKG 010820Z AUTO 00000KT 10SM OVC037 M08/M11 A3008 480 80 -2100 000/00 RMK AO2 T10781106
14840KMKG MKG20140201032511402/01/14 03:25:31  5-MIN KMKG 010825Z AUTO 00000KT 10SM OVC037 M07/M11 A3008 480 77 -2100 000/00 RMK AO2 T10721106
14840KMKG MKG20140201033011402/01/14 03:30:31  5-MIN KMKG 010830Z AUTO 11003KT 10SM OVC037 M08/M11 A3008 480 80 -2100 120/03 RMK AO2 T10781106
14840KMKG MKG20140201033512102/01/14 03:35:31  5-MIN KMKG 010835Z AUTO 10003KT 10SM BKN037 OVC065 M08/M11 A3007 490 80 -2100 110/03 RMK AO2 T10781106
14840KMKG MKG20140201034012102/01/14 03:40:31  5-MIN KMKG 010840Z AUTO 10003KT 10SM BKN037 OVC060 M08/M11 A3007 490 80 -2100 100/03 RMK AO2 T10781106
14840KMKG MKG20140201034512802/01/14 03:45:31  5-MIN KMKG 010845Z AUTO 10003KT 10SM SCT037 BKN060 OVC070 M07/M11 A3007 490 77 -2100 110/03 RMK AO2 T10721106
14840KMKG MKG20140201035014102/01/14 03:50:31  5-MIN KMKG 010850Z AUTO 10004KT 10SM FEW037 BKN060 OVC085 M07/M11 A3006 500 77 -2100 110/04 RMK AO2 SLP191 T10721106 58003
14840KMKG MKG20140201035514002/01/14 03:55:31  5-MIN KMKG 010855Z AUTO 11004KT 9SM FEW038 BKN070 OVC085 M08/M11 A3007 500 80 -2100 110/04 RMK AO2 SLP191 T10781106 58014
14840KMKG MKG20140201040012002/01/14 04:00:31  5-MIN KMKG 010900Z AUTO 10003KT 9SM FEW060 OVC080 M07/M11 A3006 500 77 -2000 100/03 RMK AO2 T10721106
14840KMKG MKG20140201040512002/01/14 04:05:31  5-MIN KMKG 010905Z AUTO 10004KT 8SM SCT060 OVC080 M07/M10 A3006 500 81 -2000 100/04 RMK AO2 T10721100
14840KMKG MKG20140201041012702/01/14 04:10:31  5-MIN KMKG 010910Z AUTO 11003KT 8SM SCT055 BKN070 OVC085 M07/M10 A3006 500 81 -2000 110/03 RMK AO2 T10721100
14840KMKG MKG20140201041514302/01/14 04:15:31  5-MIN KMKG 010915Z AUTO 11003KT 6SM -SN BKN045 BKN070 OVC085 M07/M10 A3006 500 81 -2000 110/03 RMK AO2 SNB13 P0000 T10721100
14840KMKG MKG20140201042013602/01/14 04:20:31  5-MIN KMKG 010920Z AUTO 12003KT 4SM -SN BKN037 OVC080 M07/M10 A3006 500 81 -2000 120/03 RMK AO2 SNB13 P0000 T10721100
14840KMKG MKG20140201042514002/01/14 04:25:31  5-MIN KMKG 010925Z AUTO 11004KT 2 1/2SM -SN BKN034 OVC075 M07/M10 A3005 510 81 -2000 120/04 RMK AO2 SNB13 P0000 T10721100
14840KMKG MKG20140201043013302/01/14 04:30:31  5-MIN KMKG 010930Z AUTO 11004KT 2 1/2SM -SN OVC035 M07/M10 A3005 510 81 -2000 110/04 RMK AO2 SNB13 P0000 T10721100
14840KMKG MKG20140201043513302/01/14 04:35:31  5-MIN KMKG 010935Z AUTO 11004KT 2 1/2SM -SN OVC034 M07/M10 A3005 510 81 -2000 110/04 RMK AO2 SNB13 P0001 T10721100
14840KMKG MKG20140201044013602/01/14 04:40:31  5-MIN KMKG 010940Z AUTO 11004KT 2 1/2SM -SN BR OVC034 M07/M09 A3005 510 84 -2000 110/04 RMK AO2 SNB13 P0001 T10721094
