14840KMKG MKG20000101025011001/01/00 02:50:31  5-MIN KMKG 010750Z 20014KT 10SM CLR 06/01 A2993 620 73 -300 200/14 RMK AO2 SLP141 T00560011
14840KMKG MKG20000101025511601/01/00 02:55:31  5-MIN KMKG 010755Z 21017G21KT 10SM CLR 06/01 A2993 620 73 -300 210/17G21 RMK AO2 SLP141 T00560011
14840KMKG MKG20000101030009901/01/00 03:00:31  5-MIN KMKG 010800Z 21015G22KT 10SM CLR 06/01 A2993 620 70 -300 210/15G22 RMK AO2
14840KMKG MKG20000101030509901/01/00 03:05:31  5-MIN KMKG 010805Z 21016G21KT 10SM CLR 06/01 A2994 620 73 -300 210/16G21 RMK AO2
14840KMKG MKG20000101031009901/01/00 03:10:31  5-MIN KMKG 010810Z 21017G21KT 10SM CLR 06/01 A2993 620 70 -300 210/17G21 RMK AO2
14840KMKG MKG20000101031511701/01/00 03:15:31  5-MIN KMKG 010815Z 21019G27KT 10SM CLR 06/01 A2993 620 70 -300 210/19G27 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101032011701/01/00 03:20:31  5-MIN KMKG 010820Z 21018G27KT 10SM CLR 06/01 A2993 620 70 -300 210/18G27 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101032511701/01/00 03:25:31  5-MIN KMKG 010825Z 21018G23KT 10SM CLR 06/00 A2993 620 67 -300 220/18G23 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101033011701/01/00 03:30:31  5-MIN KMKG 010830Z 21015G23KT 10SM CLR 06/00 A2993 620 67 -300 220/15G23 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101033511701/01/00 03:35:31  5-MIN KMKG 010835Z 21015G23KT 10SM CLR 06/01 A2994 620 70 -300 220/15G23 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101034011101/01/00 03:40:31  5-MIN KMKG 010840Z 21015KT 10SM CLR 06/01 A2993 620 70 -300 210/15 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101034511701/01/00 03:45:31  5-MIN KMKG 010845Z 21015G21KT 10SM CLR 06/01 A2993 620 70 -300 210/15G21 RMK AO2 PK WND 19027/0814
14840KMKG MKG20000101035014001/01/00 03:50:31  5-MIN KMKG 010850Z 21016G21KT 10SM CLR 06/01 A2993 620 70 -300 220/16G21 RMK AO2 PK WND 19027/0814 SLP140 T00560006 56013
14840KMKG MKG20000101035514001/01/00 03:55:31  5-MIN KMKG 010855Z 21016G21KT 10SM CLR 06/01 A2993 620 70 -300 210/16G21 RMK AO2 PK WND 19027/0814 SLP140 T00560006 56013
14840KMKG MKG20000101040009901/01/00 04:00:31  5-MIN KMKG 010900Z 22018G22KT 10SM CLR 06/01 A2993 620 70 -300 220/18G22 RMK AO2
14840KMKG MKG20000101040509901/01/00 04:05:31  5-MIN KMKG 010905Z 21019G24KT 10SM CLR 06/01 A2992 630 70 -300 220/19G24 RMK AO2
14840KMKG MKG20000101041009901/01/00 04:10:31  5-MIN KMKG 010910Z 21018G24KT 10SM CLR 06/01 A2992 630 70 -300 220/18G24 RMK AO2
14840KMKG MKG20000101041509901/01/00 04:15:31  5-MIN KMKG 010915Z 21018G24KT 10SM CLR 06/01 A2992 630 70 -300 210/18G24 RMK AO2
14840KMKG MKG20000101042009901/01/00 04:20:31  5-MIN KMKG 010920Z 21018G24KT 10SM CLR 06/01 A2992 630 70 -300 210/18G24 RMK AO2
14840KMKG MKG20000101042509901/01/00 04:25:31  5-MIN KMKG 010925Z 21018G24KT 10SM CLR 06/01 A2992 630 70 -300 210/18G24 RMK AO2
14840KMKG MKG20000101043009901/01/00 04:30:31  5-MIN KMKG 010930Z 21018G22KT 10SM CLR 06/01 A2991 640 70 -300 210/18G22 RMK AO2
14840KMKG MKG20000101043509901/01/00 04:35:31  5-MIN KMKG 010935Z 21017G24KT 10SM CLR 05/01 A2991 640 73 -300 210/17G24 RMK AO2
14840KMKG MKG20000101044009901/01/00 04:40:31  5-MIN KMKG 010940Z 21015G24KT 10SM CLR 06/01 A2991 640 70 -300 220/15G24 RMK AO2
14840KMKG MKG20000101044509901/01/00 04:45:31  5-MIN KMKG 010945Z 21014G23KT 10SM CLR 05/01 A2991 640 73 -300 220/14G23 RMK AO2
14840KMKG MKG20000101045011601/01/00 04:50:31  5-MIN KMKG 010950Z 22015G21KT 10SM CLR 05/01 A2991 640 73 -300 220/15G21 RMK AO2 SLP134 T00500006
14840KMKG MKG20000101045511601/01/00 04:55:31  5-MIN KMKG 010955Z 21016G21KT 10SM CLR 06/01 A2991 640 70 -300 220/16G21 RMK AO2 SLP134 T00560006
14840KMKG MKG20000101050009901/01/00 05:00:31  5-MIN KMKG 011000Z 21014G22KT 10SM CLR 06/01 A2991 640 70 -300 220/14G22 RMK AO2
14840KMKG MKG20000101050509901/01/00 05:05:31  5-MIN KMKG 011005Z 22018G25KT 10SM CLR 06/01 A2992 640 73 -300 220/18G25 RMK AO2
14840KMKG MKG20000101051009901/01/00 05:10:31  5-MIN KMKG 011010Z 22013G25KT 10SM CLR 06/01 A2992 640 73 -300 220/13G25 RMK AO2
14840KMKG MKG20000101051509901/01/00 05:15:31  5-MIN KMKG 011015Z 22015G22KT 10SM CLR 06/01 A2992 630 73 -300 220/15G22 RMK AO2
14840KMKG MKG20000101052009301/01/00 05:20:31  5-MIN KMKG 011020Z 22016KT 10SM CLR 06/01 A2992 630 73 -300 220/16 RMK AO2
14840KMKG MKG20000101052509301/01/00 05:25:31  5-MIN KMKG 011025Z 22016KT 10SM CLR 06/01 A2992 630 73 -300 220/16 RMK AO2
14840KMKG MKG20000101053009301/01/00 05:30:31  5-MIN KMKG 011030Z 22016KT 10SM CLR 06/01 A2992 630 73 -300 220/16 RMK AO2
14840KMKG MKG20000101053509901/01/00 05:35:31  5-MIN KMKG 011035Z 22018G21KT 10SM CLR 06/01 A2992 630 73 -300 230/18G21 RMK AO2
14840KMKG MKG20000101054009901/01/00 05:40:31  5-MIN KMKG 011040Z 22014G21KT 10SM CLR 05/01 A2993 620 76 -300 230/14G21 RMK AO2
14840KMKG MKG20000101054509301/01/00 05:45:31  5-MIN KMKG 011045Z 22015KT 10SM CLR 05/02 A2993 620 79 -300 220/15 RMK AO2
14840KMKG MKG20000101055011001/01/00 05:50:31  5-MIN KMKG 011050Z 23015KT 10SM CLR 05/02 A2993 620 79 -300 230/15 RMK AO2 SLP140 T00500017
14840KMKG MKG20000101055511001/01/00 05:55:31  5-MIN KMKG 011055Z 23015KT 10SM CLR 06/02 A2993 620 76 -300 230/15 RMK AO2 SLP141 T00560017
14840KMKG MKG20000101060009301/01/00 06:00:31  5-MIN KMKG 011100Z 22017KT 10SM CLR 06/02 A2993 620 76 -300 220/17 RMK AO2
14840KMKG MKG20000101060509301/01/00 06:05:31  5-MIN KMKG 011105Z 23015KT 10SM CLR 06/02 A2993 620 76 -300 230/15 RMK AO2
14840KMKG MKG20000101061009901/01/00 06:10:31  5-MIN KMKG 011110Z 23014G21KT 10SM CLR 05/02 A2993 620 79 -300 230/14G21 RMK AO2
14840KMKG MKG20000101061509901/01/00 06:15:31  5-MIN KMKG 011115Z 23016G21KT 10SM CLR 06/02 A2993 620 76 -300 230/16G21 RMK AO2
14840KMKG MKG20000101062009301/01/00 06:20:31  5-MIN KMKG 011120Z 22015KT 10SM CLR 05/02 A2993 620 79 -300 230/15 RMK AO2
14840KMKG MKG20000101062509301/01/00 06:25:31  5-MIN KMKG 011125Z 23015KT 10SM CLR 05/02 A2993 620 79 -300 230/15 RMK AO2
14840KMKG MKG20000101063009301/01/00 06:30:31  5-MIN KMKG 011130Z 23015KT 10SM CLR 06/02 A2993 620 76 -300 230/15 RMK AO2
14840KMKG MKG20000101063509301/01/00 06:35:31  5-MIN KMKG 011135Z 23017KT 10SM CLR 06/02 A2993 620 76 -300 230/17 RMK AO2
14840KMKG MKG20000101064009901/01/00 06:40:31  5-MIN KMKG 011140Z 23015G20KT 10SM CLR 06/02 A2993 620 76 -300 240/15G20 RMK AO2
14840KMKG MKG20000101064509901/01/00 06:45:31  5-MIN KMKG 011145Z 23016G19KT 10SM CLR 06/02 A2993 620 76 -300 230/16G19 RMK AO2
14840KMKG MKG20000101065013401/01/00 06:50:31  5-MIN KMKG 011150Z 23017G22KT 10SM CLR 06/02 A2994 620 76 -300 230/17G22 RMK AO2 SLP142 T00560017 10056 20039 53002
14840KMKG MKG20000101065513401/01/00 06:55:31  5-MIN KMKG 011155Z 23016G22KT 10SM CLR 05/02 A2993 620 79 -400 230/16G22 RMK AO2 SLP141 T00500017 10056 20039 53002
14840KMKG MKG20000101070009901/01/00 07:00:31  5-MIN KMKG 011200Z 23016G22KT 10SM CLR 06/02 A2994 620 76 -300 240/16G22 RMK AO2
